BatchID,1st,2nd,3rd,4th,5th,Miss,Cost,Revenue,Profit
1,0,0,0,96,1416,48488,50000000,11880000,-38120000
2,0,0,2,90,1509,48399,50000000,15045000,-34955000
3,0,0,2,83,1356,48559,50000000,13930000,-36070000
4,0,0,2,97,1408,48493,50000000,14890000,-35110000
5,0,0,1,94,1451,48454,50000000,13455000,-36545000
6,0,0,0,80,1395,48525,50000000,10975000,-39025000
7,0,0,2,92,1453,48453,50000000,14865000,-35135000
8,0,0,2,99,1397,48502,50000000,14935000,-35065000
9,0,0,1,101,1383,48515,50000000,13465000,-36535000
10,0,0,1,89,1469,48441,50000000,13295000,-36705000
11,0,0,1,91,1438,48470,50000000,13240000,-36760000
12,0,0,2,85,1450,48463,50000000,14500000,-35500000
13,0,0,1,90,1444,48465,50000000,13220000,-36780000
14,0,1,1,107,1455,48436,50000000,64125000,14125000
15,0,0,3,70,1416,48511,50000000,15080000,-34920000
16,0,0,4,81,1389,48526,50000000,16995000,-33005000
17,0,0,2,93,1379,48526,50000000,14545000,-35455000
18,0,0,1,100,1397,48502,50000000,13485000,-36515000
19,0,0,0,102,1443,48455,50000000,12315000,-37685000
20,0,0,2,86,1425,48487,50000000,14425000,-35575000
21,0,0,1,83,1392,48524,50000000,12610000,-37390000
22,0,0,0,77,1425,48498,50000000,10975000,-39025000
23,0,0,1,102,1391,48506,50000000,13555000,-36445000
24,0,0,0,91,1347,48562,50000000,11285000,-38715000
25,0,0,1,100,1382,48517,50000000,13410000,-36590000
26,0,0,3,96,1421,48480,50000000,16405000,-33595000
27,0,0,6,86,1394,48514,50000000,20270000,-29730000
28,0,0,1,94,1380,48525,50000000,13100000,-36900000
29,0,0,0,94,1441,48465,50000000,11905000,-38095000
30,0,0,3,85,1459,48453,50000000,16045000,-33955000
31,0,0,1,75,1425,48499,50000000,12375000,-37625000
32,0,0,1,89,1394,48516,50000000,12920000,-37080000
33,0,0,1,63,1448,48488,50000000,11890000,-38110000
34,0,0,1,97,1447,48455,50000000,13585000,-36415000
35,0,0,1,104,1398,48497,50000000,13690000,-36310000
36,0,0,0,90,1490,48420,50000000,11950000,-38050000
37,0,0,3,100,1423,48474,50000000,16615000,-33385000
38,0,0,2,83,1430,48485,50000000,14300000,-35700000
39,0,0,1,92,1450,48457,50000000,13350000,-36650000
40,0,0,2,88,1394,48516,50000000,14370000,-35630000
41,0,0,1,87,1433,48479,50000000,13015000,-36985000
42,0,0,3,95,1496,48406,50000000,16730000,-33270000
43,0,0,2,77,1389,48532,50000000,13795000,-36205000
44,0,0,3,89,1429,48479,50000000,16095000,-33905000
45,0,0,2,85,1337,48576,50000000,13935000,-36065000
46,0,0,1,87,1413,48499,50000000,12915000,-37085000
47,0,1,0,88,1481,48430,50000000,61805000,11805000
48,0,0,0,91,1384,48525,50000000,11470000,-38530000
49,0,0,3,99,1419,48479,50000000,16545000,-33455000
50,0,0,2,96,1397,48505,50000000,14785000,-35215000
51,0,0,2,101,1392,48505,50000000,15010000,-34990000
52,0,0,1,72,1434,48493,50000000,12270000,-37730000
53,0,0,1,83,1471,48445,50000000,13005000,-36995000
54,0,0,2,88,1370,48540,50000000,14250000,-35750000
55,0,0,2,98,1472,48428,50000000,15260000,-34740000
56,0,0,1,73,1449,48477,50000000,12395000,-37605000
57,0,0,0,110,1380,48510,50000000,12400000,-37600000
58,0,1,0,95,1393,48511,50000000,61715000,11715000
59,0,0,2,83,1475,48440,50000000,14525000,-35475000
60,0,0,0,81,1411,48508,50000000,11105000,-38895000
61,0,0,2,83,1455,48460,50000000,14425000,-35575000
62,0,0,3,77,1379,48541,50000000,15245000,-34755000
63,0,0,1,92,1431,48476,50000000,13255000,-36745000
64,0,0,2,86,1395,48517,50000000,14275000,-35725000
65,0,0,1,85,1396,48518,50000000,12730000,-37270000
66,0,0,1,84,1496,48419,50000000,13180000,-36820000
67,0,0,0,88,1421,48491,50000000,11505000,-38495000
68,0,0,2,79,1419,48500,50000000,14045000,-35955000
69,0,0,3,74,1408,48515,50000000,15240000,-34760000
70,0,0,0,76,1435,48489,50000000,10975000,-39025000
71,0,0,1,103,1407,48489,50000000,13685000,-36315000
72,0,0,2,77,1387,48534,50000000,13785000,-36215000
73,0,0,2,77,1468,48453,50000000,14190000,-35810000
74,0,0,0,83,1394,48523,50000000,11120000,-38880000
75,0,0,2,90,1424,48484,50000000,14620000,-35380000
76,0,0,2,87,1384,48527,50000000,14270000,-35730000
77,0,0,0,85,1417,48498,50000000,11335000,-38665000
78,0,0,4,102,1434,48460,50000000,18270000,-31730000
79,0,0,1,83,1379,48537,50000000,12545000,-37455000
80,0,0,1,82,1390,48527,50000000,12550000,-37450000
81,0,0,1,74,1424,48501,50000000,12320000,-37680000
82,0,0,0,87,1453,48460,50000000,11615000,-38385000
83,0,0,0,80,1469,48451,50000000,11345000,-38655000
84,0,0,3,100,1377,48520,50000000,16385000,-33615000
85,0,0,2,95,1436,48467,50000000,14930000,-35070000
86,0,0,4,83,1376,48537,50000000,17030000,-32970000
87,0,0,1,113,1461,48425,50000000,14455000,-35545000
88,0,0,1,89,1361,48549,50000000,12755000,-37245000
89,0,0,2,81,1404,48513,50000000,14070000,-35930000
90,0,0,5,92,1423,48480,50000000,19215000,-30785000
91,0,0,1,101,1411,48487,50000000,13605000,-36395000
92,0,0,0,104,1473,48423,50000000,12565000,-37435000
93,0,0,0,113,1463,48424,50000000,12965000,-37035000
94,0,0,1,94,1421,48484,50000000,13305000,-36695000
95,0,0,2,90,1409,48499,50000000,14545000,-35455000
96,0,0,2,89,1409,48500,50000000,14495000,-35505000
97,0,0,1,82,1409,48508,50000000,12645000,-37355000
98,0,0,4,79,1500,48417,50000000,17450000,-32550000
99,0,0,2,108,1460,48430,50000000,15700000,-34300000
100,0,0,0,79,1456,48465,50000000,11230000,-38770000
